sample_id,height,width,feature_bicubic_psnr_vs_vae,rf_1step_psnr_vs_vae,rf_4step_psnr_vs_vae,feature_bicubic_ssim_vs_vae,rf_1step_ssim_vs_vae,rf_4step_ssim_vs_vae,rf_1step_psnr_vs_raw,rf_4step_psnr_vs_raw,rgb_l1_bicubic_vs_vae,rgb_l1_rf_1step_vs_vae,rgb_l1_rf_4step_vs_vae,gate_mean
img011,1024,560,12.474245675333673,19.374708298322865,19.527758605262438,0.5492767095565796,0.8342293500900269,0.8367424607276917,19.37180864881058,19.52656880337326,0.25738096237182617,0.11035758256912231,0.10658180713653564,0.9982442855834961
img012,768,1024,18.972824443729653,21.409878103561883,21.177231762982423,0.49100247025489807,0.663861095905304,0.6642513275146484,20.920258489635913,20.71956324190037,0.1408357322216034,0.10202258080244064,0.1042434424161911,0.9894768595695496
img013,752,1024,23.161484288895476,26.741180038707355,26.520444291611945,0.588111162185669,0.7577075362205505,0.7556785345077515,26.422789455712532,26.24394349271264,0.09002882242202759,0.059504758566617966,0.06112661212682724,0.9990965127944946
img014,1024,1024,18.496778247778025,20.922512264506786,20.662342863667927,0.49927791953086853,0.6700133085250854,0.6701622009277344,20.580682229832128,20.36563621032849,0.13672208786010742,0.0991189032793045,0.10190670192241669,0.9861850738525391
img015,768,1024,20.07249030104665,23.59897583779762,23.33707592025422,0.47972747683525085,0.6361793875694275,0.6302893161773682,23.24869140263051,23.030819806054936,0.1195061206817627,0.08180542290210724,0.0843767523765564,0.9975384473800659
img016,1024,1024,22.813597653115536,28.302801862821234,27.955864141112222,0.7714936137199402,0.878609836101532,0.8782991170883179,28.000498584824378,27.698639941778232,0.06787998229265213,0.038114577531814575,0.03989613801240921,0.8893295526504517
img017,688,1024,20.144672327090145,23.819494735223223,23.63945661288344,0.6192171573638916,0.7988541722297668,0.7994007468223572,23.45008929783351,23.300115735926745,0.11514802277088165,0.07385120540857315,0.07517503947019577,0.991392970085144
img018,768,1024,21.271357570639992,23.88066800966456,23.67838421490547,0.4670730233192444,0.6322505474090576,0.6321055293083191,23.487213424211127,23.323861578370636,0.11759193986654282,0.08651090413331985,0.08867283910512924,0.9993019104003906
img019,672,1024,15.636923581875353,19.79392259091302,19.688263265426684,0.5493990778923035,0.7443218231201172,0.7452791333198547,19.52837140785114,19.437997712412958,0.17889608442783356,0.10780427604913712,0.10750403255224228,0.9951199293136597
img020,960,1280,16.82951976115251,20.358996918427906,20.149493143176272,0.4736056923866272,0.6807612180709839,0.6838822364807129,20.130551583363623,19.957178903424484,0.1755800098180771,0.1173831894993782,0.11949987709522247,0.9960778951644897
img021,1200,784,24.65038892794518,28.390849649293543,28.082468897242165,0.5895175933837891,0.7430214285850525,0.739366888999939,27.876199865514295,27.635632876268197,0.07781778275966644,0.05051330849528313,0.052560675889253616,0.9994423985481262
img022,672,1024,21.899808621835568,24.446267547889143,24.244718529073793,0.6083727478981018,0.7378198504447937,0.7385977506637573,24.168649831368725,23.98240864934901,0.08954116702079773,0.06576620042324066,0.06743316352367401,0.9806464910507202
img023,1024,1024,22.43455548905651,26.284747764052693,25.96717292517305,0.7021224498748779,0.8262359499931335,0.8351117372512817,26.051189020204568,25.774717467641125,0.08915320038795471,0.060011126101017,0.06183568760752678,0.9299860596656799
img024,656,1024,14.704289570269403,19.607019537087027,19.485595743474484,0.34716108441352844,0.6863669157028198,0.6920473575592041,19.535602764703405,19.4282529585491,0.2430749237537384,0.13715244829654694,0.13845989108085632,0.9966787695884705
img025,736,1024,23.794520974104163,30.21660382923999,29.899519226722933,0.7145316004753113,0.8620542883872986,0.859785258769989,29.586066277610627,29.363808771865678,0.07197756320238113,0.038867078721523285,0.040155597031116486,0.9994805455207825
img026,768,1024,22.98696598038571,26.667679879967814,26.459864731202458,0.5135297775268555,0.6501102447509766,0.6496723294258118,26.322819791592845,26.21303201627309,0.08319451659917831,0.06041933596134186,0.06236756592988968,0.9992504119873047
img027,832,1024,23.96644690849328,27.25449532382835,26.978055653006685,0.6396464109420776,0.781309187412262,0.7793435454368591,26.77640238902169,26.56585668823411,0.07474499940872192,0.05064643919467926,0.05250838026404381,0.9973400235176086
img028,672,1024,25.887238604309065,30.684097821254205,30.50105030452615,0.7455376982688904,0.8663026690483093,0.8648383617401123,30.094358630861173,29.97849446404764,0.053187962621450424,0.03220893442630768,0.03336399048566818,0.9916179776191711
img029,672,1024,20.128475108591775,25.078107707714597,24.929120936434963,0.6326702237129211,0.8250560164451599,0.8253238201141357,24.773763768049356,24.669682005037934,0.1010032519698143,0.056111447513103485,0.0571175254881382,0.9983217120170593
img030,1024,672,18.394703471353772,22.132731614222717,21.7844543453292,0.5151099562644958,0.7580521702766418,0.7536640763282776,21.76492433712502,21.457899687345076,0.15656402707099915,0.09991700947284698,0.10426996648311615,0.9928987622261047
img031,672,1024,19.17590917053824,21.947890287022886,21.775102141312278,0.5744832158088684,0.7423039674758911,0.7411850690841675,21.7100057252823,21.553162618444492,0.12397803366184235,0.08573364466428757,0.0877121090888977,0.9729498028755188
img032,672,1024,22.74703564842392,27.393087113838295,27.150157887389238,0.6674680709838867,0.8209184408187866,0.8209563493728638,26.99616906653513,26.829280124652076,0.0750051736831665,0.04495415464043617,0.04626462981104851,0.9893352389335632
img033,672,1024,21.086824755151543,25.326863538720787,25.056172707404972,0.5733150243759155,0.762211263179779,0.7621561884880066,24.97308815871323,24.76577039600933,0.09446670114994049,0.05894138291478157,0.06148814037442207,0.9954338073730469
img034,672,1024,17.759123071968048,20.459693225113554,20.169749833040118,0.36765873432159424,0.5281463265419006,0.5265313386917114,20.09165480560749,19.826442546781855,0.17232246696949005,0.12837256491184235,0.13190335035324097,0.9930365681648254
img035,688,1024,21.133929687362567,24.746974493695383,24.514651347081113,0.629787266254425,0.8146064281463623,0.8107948899269104,24.496125918964474,24.302710630284025,0.10497277230024338,0.06350873410701752,0.06597047299146652,0.9975881576538086
img036,1024,688,22.735067263091267,28.201391528399014,27.84638289239217,0.7197264432907104,0.8726668357849121,0.869368851184845,27.764488069551057,27.509063014330092,0.07987287640571594,0.04330511763691902,0.04556567966938019,0.9981468319892883
img037,1024,736,20.444552332973473,24.796350660474232,24.645384595816804,0.5582537651062012,0.7676030993461609,0.7695792317390442,24.495933444059403,24.378428095797954,0.11818890273571014,0.07336631417274475,0.07498157769441605,0.9990007281303406
img038,1024,768,21.58260603933681,25.447799198814025,25.179735513035276,0.3888128399848938,0.6131625771522522,0.6125496625900269,24.96551908402189,24.766265176324808,0.11100608855485916,0.07433338463306427,0.07673081010580063,0.9989539980888367
img039,1024,768,17.66121229592621,20.89698516945406,20.69579885681687,0.49213680624961853,0.6897928714752197,0.6916303634643555,20.65219767504305,20.487813453785254,0.15611399710178375,0.1045743003487587,0.1072949767112732,0.9897560477256775
img040,576,1024,17.366669909130643,24.896539937846207,24.839310790376135,0.6699830293655396,0.9124916195869446,0.9117156267166138,24.885965010799858,24.83842064987215,0.15423598885536194,0.06127125024795532,0.06112915650010109,0.9988155364990234
img041,672,1024,17.895836463488468,23.272538051842517,23.098207129596375,0.5786774158477783,0.8217313885688782,0.8193014860153198,23.10072556554196,22.94779451513797,0.15655164420604706,0.0810452476143837,0.08244511485099792,0.999193012714386
img042,672,1024,22.164572185280274,27.241434841646036,26.959694607601318,0.6976343989372253,0.8707411885261536,0.8697723746299744,27.035277536182967,26.788504593353785,0.08957292884588242,0.04992987588047981,0.052357267588377,0.9977239370346069
img043,672,1024,20.283941541991766,29.104978809784914,28.94663478049217,0.7274662256240845,0.8897067308425903,0.8874636292457581,28.754831689865625,28.620339154231047,0.08911201357841492,0.038612134754657745,0.03958065062761307,0.999155580997467
img044,672,1024,23.582321665849197,29.595257411383944,29.350326328308668,0.6107262969017029,0.8767282962799072,0.880612313747406,29.119261904707887,28.976638757980258,0.0940171554684639,0.04920252785086632,0.05030262842774391,0.9988246560096741
img045,768,1024,18.147415183508638,23.36221987577787,22.992965613483832,0.4149373471736908,0.6816227436065674,0.6699129939079285,23.204686648040326,22.891639431762172,0.17134463787078857,0.10350249707698822,0.10884521901607513,0.9993577003479004
img046,1024,688,19.315585460118957,21.6144281568892,21.302938903626796,0.6184921860694885,0.7518243193626404,0.7540784478187561,21.451368589400946,21.16726681625007,0.11711166054010391,0.08568092435598373,0.08836086839437485,0.9853041768074036
img047,608,1024,16.44701929265623,19.523749766477746,19.27571636754409,0.53460294008255,0.7090883851051331,0.7113695740699768,19.263956534772745,19.047366632010462,0.17638441920280457,0.12139756977558136,0.12386974692344666,0.9919772744178772
