dataset,sample_id,mode,height,width,psnr_vs_vae,ssim_vs_vae,psnr_vs_raw,ssim_vs_raw,base_psnr_rgb,base_ssim_rgb,base_l1_rgb,base_grad_l1,hf_energy,hf_gain_vs_base_up,hf_error_vs_vae,lf_drift_vs_base
FLUX179_x2_unpaired,img_0000109,feature_bicubic,2048,2048,nan,nan,nan,nan,30.02557719187052,0.898095965385437,0.016161281615495682,0.032576434314250946,0.018237721174955368,1.746784844704895,nan,0.016415392979979515
FLUX179_x2_unpaired,img_0000109,rf_1step,2048,2048,nan,nan,nan,nan,33.516260025320676,0.9356710314750671,0.01345164142549038,0.024167923256754875,0.011929179541766644,1.1425610597631397,nan,0.018749678507447243
FLUX179_x2_unpaired,img_0000110,feature_bicubic,2048,2048,nan,nan,nan,nan,35.26444214794604,0.9502763152122498,0.010580414906144142,0.01555433589965105,0.00912276841700077,1.738142108384286,nan,0.015312775038182735
FLUX179_x2_unpaired,img_0000110,rf_1step,2048,2048,nan,nan,nan,nan,36.44949748459205,0.9642373919487,0.013033273629844189,0.011542133055627346,0.006749849766492844,1.2860348490865414,nan,0.02433772012591362
FLUX179_x2_unpaired,img_0000111,feature_bicubic,2048,2048,nan,nan,nan,nan,30.56748012309772,0.9450365900993347,0.013850647024810314,0.022653283551335335,0.01194942556321621,1.656978550682713,nan,0.01705320179462433
FLUX179_x2_unpaired,img_0000111,rf_1step,2048,2048,nan,nan,nan,nan,35.25358397255112,0.9730824828147888,0.012007109820842743,0.013754703104496002,0.007436266168951988,1.0311569768718272,nan,0.01984911784529686
FLUX179_x2_unpaired,img_0000112,feature_bicubic,2048,2048,nan,nan,nan,nan,29.929241277366728,0.9073673486709595,0.01771889440715313,0.03737377002835274,0.021557828411459923,1.612024626830643,nan,0.01753232441842556
FLUX179_x2_unpaired,img_0000112,rf_1step,2048,2048,nan,nan,nan,nan,34.244810498686626,0.9465619921684265,0.013660441152751446,0.02714208886027336,0.016842138022184372,1.259400564010859,nan,0.018983058631420135
FLUX179_x2_unpaired,img_0000113,feature_bicubic,2048,2048,nan,nan,nan,nan,28.20833423743848,0.825249195098877,0.01942361146211624,0.04543401300907135,0.026298999786376953,1.892859577538986,nan,0.013019390404224396
FLUX179_x2_unpaired,img_0000113,rf_1step,2048,2048,nan,nan,nan,nan,32.12550817162713,0.9104130268096924,0.014640274457633495,0.03223520144820213,0.014937089756131172,1.0750908260814687,nan,0.015341362915933132
FLUX179_x2_unpaired,img_0000114,feature_bicubic,2048,2048,nan,nan,nan,nan,34.76903962610837,0.9337805509567261,0.011016394011676311,0.016608625650405884,0.008804528042674065,1.8303121250997918,nan,0.014996020123362541
FLUX179_x2_unpaired,img_0000114,rf_1step,2048,2048,nan,nan,nan,nan,35.40622155589504,0.9622395038604736,0.012975132092833519,0.013177579268813133,0.005606851540505886,1.1655693875336404,nan,0.022323474287986755
FLUX179_x2_unpaired,img_0000115,feature_bicubic,2048,2048,nan,nan,nan,nan,34.299459206066715,0.9106475710868835,0.011254815384745598,0.01932685822248459,0.011053984984755516,1.7264666683394407,nan,0.013290471397340298
FLUX179_x2_unpaired,img_0000115,rf_1step,2048,2048,nan,nan,nan,nan,34.9505875524529,0.8794676661491394,0.01287858933210373,0.014888168312609196,0.007559084799140692,1.18061567542073,nan,0.021380513906478882
FLUX179_x2_unpaired,img_0000116,feature_bicubic,2048,2048,nan,nan,nan,nan,30.715467684359158,0.9198402762413025,0.014391927048563957,0.023536954075098038,0.013585545122623444,1.7621742122632489,nan,0.016069328412413597
FLUX179_x2_unpaired,img_0000116,rf_1step,2048,2048,nan,nan,nan,nan,34.58736823800673,0.9599098563194275,0.012879019603133202,0.014975474216043949,0.007817334495484829,1.0139825183488238,nan,0.020751506090164185
FLUX179_x2_unpaired,img_0000117,feature_bicubic,2048,2048,nan,nan,nan,nan,30.706309756397538,0.922671914100647,0.014803173951804638,0.026504715904593468,0.014087351970374584,1.731155905419532,nan,0.016956739127635956
FLUX179_x2_unpaired,img_0000117,rf_1step,2048,2048,nan,nan,nan,nan,33.967626867116905,0.9598925113677979,0.013028083369135857,0.018339626491069794,0.008524032309651375,1.0474948664498722,nan,0.019813941791653633
FLUX179_x2_unpaired,img_0000118,feature_bicubic,2048,2048,nan,nan,nan,nan,29.69108230735425,0.8729264140129089,0.0163327194750309,0.037021979689598083,0.02105562947690487,1.9203285238857546,nan,0.015131363645195961
FLUX179_x2_unpaired,img_0000118,rf_1step,2048,2048,nan,nan,nan,nan,32.49664254667671,0.9276499152183533,0.014264777302742004,0.029151365160942078,0.013900204561650753,1.2677350414464374,nan,0.018624208867549896
FLUX179_x2_unpaired,img_0000119,feature_bicubic,2048,2048,nan,nan,nan,nan,31.718267517221953,0.9429366588592529,0.013701419346034527,0.021150993183255196,0.011981328949332237,1.6760670799231854,nan,0.017662368714809418
FLUX179_x2_unpaired,img_0000119,rf_1step,2048,2048,nan,nan,nan,nan,35.05153830492651,0.968172550201416,0.012981242500245571,0.014538532122969627,0.007966968230903149,1.114498503052522,nan,0.022218964993953705
FLUX179_x2_unpaired,img_0000120,feature_bicubic,2048,2048,nan,nan,nan,nan,28.65547577299115,0.8906480669975281,0.020527200773358345,0.037427306175231934,0.02163948118686676,1.6848722790218273,nan,0.01957934908568859
FLUX179_x2_unpaired,img_0000120,rf_1step,2048,2048,nan,nan,nan,nan,33.09536862174034,0.957344651222229,0.015019254758954048,0.022298220545053482,0.01287630945444107,1.00256270788328,nan,0.021616462618112564
FLUX179_x2_unpaired,img_0000121,feature_bicubic,2048,2048,nan,nan,nan,nan,33.83402289062879,0.933531641960144,0.010917815379798412,0.017907364293932915,0.009560056030750275,1.6895125133810949,nan,0.014271947555243969
FLUX179_x2_unpaired,img_0000121,rf_1step,2048,2048,nan,nan,nan,nan,35.399796996772544,0.9264218211174011,0.012345237657427788,0.013775384984910488,0.006420896854251623,1.1347407951892576,nan,0.02081289514899254
FLUX179_x2_unpaired,img_0000122,feature_bicubic,2048,2048,nan,nan,nan,nan,28.298309121156997,0.8467199206352234,0.017632361501455307,0.041875019669532776,0.024105161428451538,1.9190338813274939,nan,0.012223782949149609
FLUX179_x2_unpaired,img_0000122,rf_1step,2048,2048,nan,nan,nan,nan,31.854164870049292,0.9221060276031494,0.014532878994941711,0.0302506685256958,0.013872119598090649,1.104372090333401,nan,0.017072094604372978
FLUX179_x2_unpaired,img_0000123,feature_bicubic,2048,2048,nan,nan,nan,nan,30.82569198025713,0.8858264684677124,0.015082436613738537,0.0313139371573925,0.01747097261250019,1.8589056828507697,nan,0.015687791630625725
FLUX179_x2_unpaired,img_0000123,rf_1step,2048,2048,nan,nan,nan,nan,33.296764675622036,0.9298291206359863,0.013928125612437725,0.02496289275586605,0.011908352375030518,1.2670447372515135,nan,0.0196020919829607
FLUX179_x2_unpaired,img_0000124,feature_bicubic,2048,2048,nan,nan,nan,nan,28.364895352869553,0.8569650053977966,0.018272727727890015,0.04076138511300087,0.02239053323864937,1.8843691347750222,nan,0.014764788560569286
FLUX179_x2_unpaired,img_0000124,rf_1step,2048,2048,nan,nan,nan,nan,31.74223419683961,0.92570960521698,0.015383945778012276,0.02841014787554741,0.011874644085764885,0.9993604244774958,nan,0.018619876354932785
FLUX179_x2_unpaired,img_0000125,feature_bicubic,2048,2048,nan,nan,nan,nan,29.60091214391925,0.9013652801513672,0.01703953742980957,0.03074738010764122,0.018368680030107498,1.7067331572419957,nan,0.01656167022883892
FLUX179_x2_unpaired,img_0000125,rf_1step,2048,2048,nan,nan,nan,nan,33.94454916179839,0.9537941813468933,0.013760870322585106,0.019023606553673744,0.01117494236677885,1.0383241820527367,nan,0.021114444360136986
FLUX179_x2_unpaired,img_0000126,feature_bicubic,2048,2048,nan,nan,nan,nan,26.616133062150958,0.8545172214508057,0.026210486888885498,0.05736822634935379,0.03155941516160965,1.6372365403395082,nan,0.02106112614274025
FLUX179_x2_unpaired,img_0000126,rf_1step,2048,2048,nan,nan,nan,nan,31.112908109778168,0.9404425621032715,0.016947854310274124,0.03535804525017738,0.019684862345457077,1.021209542651481,nan,0.01870712637901306
FLUX179_x2_unpaired,img_0000127,feature_bicubic,2048,2048,nan,nan,nan,nan,32.240582283818576,0.9532283544540405,0.012178219854831696,0.021123802289366722,0.011116880923509598,1.6938969865030724,nan,0.015414792113006115
FLUX179_x2_unpaired,img_0000127,rf_1step,2048,2048,nan,nan,nan,nan,34.73764752162542,0.9737080335617065,0.012778475880622864,0.015254895202815533,0.007711110170930624,1.174954231407649,nan,0.021369677037000656
FLUX179_x2_unpaired,img_0000128,feature_bicubic,2048,2048,nan,nan,nan,nan,34.55540174827665,0.9175085425376892,0.010455658659338951,0.02011239156126976,0.011581311002373695,1.890001411953026,nan,0.01139762531965971
FLUX179_x2_unpaired,img_0000128,rf_1step,2048,2048,nan,nan,nan,nan,36.37409395239432,0.9407013654708862,0.010871621780097485,0.01579722762107849,0.0072717685252428055,1.186709585580388,nan,0.01697879284620285
FLUX179_x2_unpaired,img_0000129,feature_bicubic,2048,2048,nan,nan,nan,nan,33.131646851517964,0.9410454630851746,0.013256564736366272,0.02058538794517517,0.011713425628840923,1.6304172258162202,nan,0.01745884120464325
FLUX179_x2_unpaired,img_0000129,rf_1step,2048,2048,nan,nan,nan,nan,35.37896698204505,0.9706899523735046,0.013242809101939201,0.013479567132890224,0.00809500552713871,1.1267614507260475,nan,0.02345217391848564
FLUX179_x2_unpaired,img_0000130,feature_bicubic,2048,2048,nan,nan,nan,nan,29.58120343954971,0.8751471042633057,0.01625298522412777,0.03341019153594971,0.019752345979213715,1.866113238983498,nan,0.013751326128840446
FLUX179_x2_unpaired,img_0000130,rf_1step,2048,2048,nan,nan,nan,nan,33.42409247223584,0.9014145731925964,0.012570279650390148,0.021953757852315903,0.010892393998801708,1.02906463195707,nan,0.0161448922008276
FLUX179_x2_unpaired,img_0000131,feature_bicubic,2048,2048,nan,nan,nan,nan,36.93141946694206,0.9666451215744019,0.010188791900873184,0.010702177882194519,0.005487110000103712,1.6188074340396787,nan,0.017119906842708588
